virus,reference,hi
a/astrakhan/1/2011,a/hong_kong/4989/2017,639.9999999999999
a/astrakhan/1/2011,a/michigan/272/2017,639.9999999999999
a/astrakhan/1/2011,a/norway/3433/2018,2031.873346519296
a/astrakhan/1/2011,a/ireland/84630/2018,1279.9999999999998
a/astrakhan/1/2011,a/hong_kong/90/2016,1279.9999999999998
a/astrakhan/1/2011,a/ukraine/6907/2015,639.9999999999999
a/astrakhan/1/2011,a/dominican_republic/7293/2013,1279.9999999999998
a/astrakhan/1/2011,a/england/195/2009,1279.9999999999998
a/astrakhan/1/2011,a/auckland/3/2009,1810.1933598375617
a/astrakhan/1/2011,a/hong_kong/2212/2010,905.0966799187808
a/astrakhan/1/2011,a/voronezh/01/2011,639.9999999999999
a/st._petersburg/27/2011,a/california/07/2009,1113.302085127606
a/st._petersburg/27/2011,a/bayern/69/2009,812.5422132896947
a/st._petersburg/27/2011,a/lviv/n6/2009,814.9751759221931
a/st._petersburg/27/2011,a/christchurch/16/2010,726.8941901389761
a/st._petersburg/27/2011,a/hong_kong/3934/2011,1453.4456692107246
a/st._petersburg/27/2011,a/astrakhan/1/2011,1310.1217219735279
a/st._petersburg/27/2011,a/st._petersburg/27/2011,917.5639732325891
a/st._petersburg/27/2011,a/st._petersburg/100/2011,2868.3206461685977
a/st._petersburg/27/2011,a/hong_kong/5659/2012,1646.9310694520693
a/st._petersburg/27/2011,a/south_africa/3626/2013,1098.7055707941392
a/st._petersburg/27/2011,a/slovenia/2903/2015,2001.2212160503857
a/st._petersburg/27/2011,a/michigan/45/2015,1097.2722980519345
a/st._petersburg/27/2011,a/israel/q_504/2015,1236.0716315988955
a/st._petersburg/27/2011,a/paris/1447/2017,2416.318240465137
a/st._petersburg/27/2011,a/slovenia/2794/2017,1279.9999999999998
a/st._petersburg/27/2011,a/switzerland/2656/2017,1279.9999999999998
a/st._petersburg/27/2011,a/switzerland/3330/2017,639.9999999999999
a/st._petersburg/27/2011,a/hong_kong/4989/2017,639.9999999999999
a/st._petersburg/27/2011,a/michigan/272/2017,1279.9999999999998
a/st._petersburg/27/2011,a/hong_kong/90/2016,2560.0
a/st._petersburg/27/2011,a/ukraine/6907/2015,639.9999999999999
a/st._petersburg/27/2011,a/dominican_republic/7293/2013,1279.9999999999998
a/st._petersburg/27/2011,a/england/195/2009,1279.9999999999998
a/st._petersburg/27/2011,a/auckland/3/2009,1279.9999999999998
a/st._petersburg/27/2011,a/hong_kong/2212/2010,1279.9999999999998
a/st._petersburg/100/2011,a/california/07/2009,998.1753516048207
a/st._petersburg/100/2011,a/bayern/69/2009,705.5248533170189
a/st._petersburg/100/2011,a/lviv/n6/2009,752.894074656181
a/st._petersburg/100/2011,a/christchurch/16/2010,763.7888958869838
a/st._petersburg/100/2011,a/hong_kong/3934/2011,1453.4456692107233
a/st._petersburg/100/2011,a/astrakhan/1/2011,1344.9684974761217
a/st._petersburg/100/2011,a/st._petersburg/27/2011,947.3932401219809
a/st._petersburg/100/2011,a/st._petersburg/100/2011,2835.160937625173
a/st._petersburg/100/2011,a/hong_kong/5659/2012,1932.5457925843111
a/st._petersburg/100/2011,a/south_africa/3626/2013,1028.3663700056093
a/st._petersburg/100/2011,a/slovenia/2903/2015,1846.0552057610762
a/st._petersburg/100/2011,a/israel/q_504/2015,1114.3047210190398
a/st._petersburg/100/2011,a/hong_kong/90/2016,2560.0
a/st._petersburg/100/2011,a/ukraine/6907/2015,639.9999999999999
a/st._petersburg/100/2011,a/michigan/45/2015,905.0966799187815
a/st._petersburg/100/2011,a/paris/1447/2017,639.9999999999999
a/st._petersburg/100/2011,a/dominican_republic/7293/2013,1279.9999999999998
a/st._petersburg/100/2011,a/england/195/2009,1279.9999999999998
a/st._petersburg/100/2011,a/auckland/3/2009,1279.9999999999998
a/st._petersburg/100/2011,a/hong_kong/2212/2010,639.9999999999999
a/st._petersburg/100/2011,a/voronezh/01/2011,639.9999999999999
a/hong_kong/5659/2012,a/california/07/2009,350.3395158631923
a/hong_kong/5659/2012,a/bayern/69/2009,192.3636930643638
a/hong_kong/5659/2012,a/lviv/n6/2009,183.20694625439984
a/hong_kong/5659/2012,a/christchurch/16/2010,275.5636572584708
a/hong_kong/5659/2012,a/hong_kong/3934/2011,889.2864331931636
a/hong_kong/5659/2012,a/astrakhan/1/2011,513.4247451076133
a/hong_kong/5659/2012,a/st._petersburg/27/2011,378.85916502234534
a/hong_kong/5659/2012,a/st._petersburg/100/2011,1220.9143471252028
a/hong_kong/5659/2012,a/hong_kong/5659/2012,852.0054168447541
a/hong_kong/5659/2012,a/south_africa/3626/2013,453.78499745468605
a/hong_kong/5659/2012,a/slovenia/2903/2015,617.0726386831966
a/hong_kong/5659/2012,a/michigan/45/2015,308.0740968922903
a/hong_kong/5659/2012,a/israel/q_504/2015,372.5024688211892
a/hong_kong/5659/2012,a/paris/1447/2017,1021.4102308750242
a/hong_kong/5659/2012,a/switzerland/2656/2017,437.13288216140626
a/hong_kong/5659/2012,a/switzerland/3330/2017,269.08685288118846
a/hong_kong/5659/2012,a/new_jersey/13/2018,639.9999999999999
a/hong_kong/5659/2012,a/slovenia/2794/2017,1279.9999999999998
a/hong_kong/5659/2012,a/hong_kong/4989/2017,319.99999999999994
a/hong_kong/5659/2012,a/michigan/272/2017,319.99999999999994
a/hong_kong/5659/2012,a/norway/3433/2018,1436.7514218359963
a/hong_kong/5659/2012,a/ireland/84630/2018,1279.9999999999998
a/hong_kong/5659/2012,a/hong_kong/90/2016,639.9999999999999
a/hong_kong/5659/2012,a/ukraine/6907/2015,319.99999999999994
a/hong_kong/5659/2012,a/dominican_republic/7293/2013,639.9999999999999
a/slovenia/1905/2012,a/california/07/2009,1279.9999999999998
a/slovenia/1905/2012,a/bayern/69/2009,639.9999999999999
a/slovenia/1905/2012,a/lviv/n6/2009,639.9999999999999
a/slovenia/1905/2012,a/christchurch/16/2010,639.9999999999999
a/slovenia/1905/2012,a/hong_kong/3934/2011,1279.9999999999998
a/slovenia/1905/2012,a/astrakhan/1/2011,1279.9999999999998
a/slovenia/1905/2012,a/st._petersburg/27/2011,1279.9999999999998
a/slovenia/1905/2012,a/st._petersburg/100/2011,2560.0
a/slovenia/1905/2012,a/hong_kong/5659/2012,2560.0
a/slovenia/1908/2012,a/california/07/2009,1279.9999999999998
a/slovenia/1908/2012,a/bayern/69/2009,1279.9999999999998
a/slovenia/1908/2012,a/lviv/n6/2009,1279.9999999999998
a/slovenia/1908/2012,a/christchurch/16/2010,1279.9999999999998
a/slovenia/1908/2012,a/hong_kong/3934/2011,2560.0
a/slovenia/1908/2012,a/astrakhan/1/2011,1279.9999999999998
a/slovenia/1908/2012,a/st._petersburg/27/2011,2560.0
a/slovenia/1908/2012,a/st._petersburg/100/2011,5120.0
a/slovenia/1908/2012,a/hong_kong/5659/2012,2560.0
a/norway/2493/2012,a/california/07/2009,639.9999999999999
a/norway/2493/2012,a/bayern/69/2009,319.99999999999994
a/norway/2493/2012,a/lviv/n6/2009,639.9999999999999
a/norway/2493/2012,a/christchurch/16/2010,319.99999999999994
a/norway/2493/2012,a/hong_kong/3934/2011,639.9999999999999
a/norway/2493/2012,a/astrakhan/1/2011,639.9999999999999
a/norway/2493/2012,a/st._petersburg/27/2011,639.9999999999999
a/norway/2493/2012,a/st._petersburg/100/2011,1279.9999999999998
a/norway/2493/2012,a/hong_kong/5659/2012,1279.9999999999998
a/norway/2531/2012,a/california/07/2009,639.9999999999999
a/norway/2531/2012,a/bayern/69/2009,319.99999999999994
a/norway/2531/2012,a/lviv/n6/2009,639.9999999999999
a/norway/2531/2012,a/christchurch/16/2010,639.9999999999999
a/norway/2531/2012,a/hong_kong/3934/2011,1279.9999999999998
a/norway/2531/2012,a/astrakhan/1/2011,639.9999999999999
a/norway/2531/2012,a/st._petersburg/27/2011,639.9999999999999
a/norway/2531/2012,a/st._petersburg/100/2011,2560.0
a/norway/2531/2012,a/hong_kong/5659/2012,2560.0
a/norway/2552/2012,a/california/07/2009,1279.9999999999998
a/norway/2552/2012,a/bayern/69/2009,319.99999999999994
a/norway/2552/2012,a/lviv/n6/2009,639.9999999999999
a/norway/2552/2012,a/christchurch/16/2010,639.9999999999999
a/norway/2552/2012,a/hong_kong/3934/2011,1279.9999999999998
a/norway/2552/2012,a/astrakhan/1/2011,639.9999999999999
a/norway/2552/2012,a/st._petersburg/27/2011,1279.9999999999998
a/norway/2552/2012,a/st._petersburg/100/2011,2560.0
a/norway/2552/2012,a/hong_kong/5659/2012,2560.0
a/lyon/2757/2012,a/california/07/2009,319.99999999999994
a/lyon/2757/2012,a/bayern/69/2009,159.99999999999994
a/lyon/2757/2012,a/lviv/n6/2009,159.99999999999994
a/lyon/2757/2012,a/christchurch/16/2010,159.99999999999994
a/lyon/2757/2012,a/hong_kong/3934/2011,319.99999999999994
a/lyon/2757/2012,a/astrakhan/1/2011,319.99999999999994
a/lyon/2757/2012,a/st._petersburg/27/2011,319.99999999999994
a/lyon/2757/2012,a/st._petersburg/100/2011,639.9999999999999
a/lyon/2757/2012,a/hong_kong/5659/2012,639.9999999999999
a/norway/46/2013,a/california/07/2009,1279.9999999999998
a/norway/46/2013,a/bayern/69/2009,319.99999999999994
a/norway/46/2013,a/lviv/n6/2009,639.9999999999999
a/norway/46/2013,a/christchurch/16/2010,639.9999999999999
a/norway/46/2013,a/hong_kong/3934/2011,1279.9999999999998
a/norway/46/2013,a/astrakhan/1/2011,1279.9999999999998
a/norway/46/2013,a/st._petersburg/27/2011,1279.9999999999998
a/norway/46/2013,a/st._petersburg/100/2011,2560.0
a/norway/46/2013,a/hong_kong/5659/2012,2560.0
a/norway/2667/2012,a/california/07/2009,639.9999999999999
a/norway/2667/2012,a/bayern/69/2009,319.99999999999994
a/norway/2667/2012,a/lviv/n6/2009,319.99999999999994
a/norway/2667/2012,a/christchurch/16/2010,319.99999999999994
a/norway/2667/2012,a/hong_kong/3934/2011,639.9999999999999
a/norway/2667/2012,a/astrakhan/1/2011,639.9999999999999
a/norway/2667/2012,a/st._petersburg/27/2011,639.9999999999999
a/norway/2667/2012,a/st._petersburg/100/2011,1279.9999999999998
a/norway/2667/2012,a/hong_kong/5659/2012,639.9999999999999
a/norway/2620/2012,a/california/07/2009,1279.9999999999998
a/norway/2620/2012,a/bayern/69/2009,639.9999999999999
a/norway/2620/2012,a/lviv/n6/2009,1279.9999999999998
a/norway/2620/2012,a/christchurch/16/2010,1279.9999999999998
a/norway/2620/2012,a/hong_kong/3934/2011,1279.9999999999998
a/norway/2620/2012,a/astrakhan/1/2011,1279.9999999999998
a/norway/2620/2012,a/st._petersburg/27/2011,1279.9999999999998
a/norway/2620/2012,a/st._petersburg/100/2011,5120.0
a/norway/2620/2012,a/hong_kong/5659/2012,2560.0
a/england/658/2012,a/california/07/2009,1279.9999999999998
